,coin,time,addresses_active_count,addresses_new_non_zero_count,addresses_count,addresses_receiving_count,addresses_sending_count,transactions_transfers_volume_sum,mining_hash_rate_mean,mining_difficulty_latest
254,ETH,1583366400,268443,59518,67869276,137964,107693,1733072.5031052,171426274167378.0,2211624469251920.0
255,ETH,1600041600,312663,69995,84984324,190686,135567,5342845.21228852,230616150948139.0,3086490588301320.0
256,ETH,1611705600,429185,113545,99095749,261442,189319,3919288.07125175,342053555493937.0,4525101025360550.0
257,ETH,1614124800,516924,144998,103386017,335321,238351,3861276.44662366,397488862142433.0,5274667208179390.0
258,ETH,1623715200,506434,96519,119983199,252555,257890,1871391.92441261,566608504137472.0,7681135228368880.0
259,ETH,1506384000,131153,34600,6797743,100254,65866,8508917.61195004,96595454939450.5,2897192463014700.0
260,ETH,1513123200,435675,182458,11845104,333991,228154,10518987.6366982,105575817381106.0,1616945832881430.0
261,ETH,1514419200,451719,189975,14610767,373350,232756,12626534.1600253,130548615950575.0,1887582175867850.0
262,ETH,1520899200,318086,79219,25857683,225343,138780,2723347.71210691,215514944400079.0,3146882955484320.0
263,ETH,1549152000,168013,24450,44614534,108674,67456,1297860.70407766,132175846130352.0,2363173083456050.0
264,ETH,1562716800,302167,67365,54403891,172615,126215,2477672.57322767,162724607572604.0,2193760660749440.0
265,ETH,1579219200,233997,51009,65494755,128177,87826,1581878.37573526,157695742443784.0,2083566383579790.0
